Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1969","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1970","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1971","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1972","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1973","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1974","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1975","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1976","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1977","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1978","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1979","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1980","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1981","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1982","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1983","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1984","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1985","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1986","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1987","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1988","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1989","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1990","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1991","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1992","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1993","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1994","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1995","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1996","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1997","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1998","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1999","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","2000","tonnes",""
