,country,Year,population,rural_population,coffee_production_tonnes,rural_pop_percent,total_pop_percent
4572,Viet Nam,2015,92677076.0,61936198.0,1452999.0,66.83011665150075,33.169883348499255
801,Colombia,2015,47520667.0,9759346.0,827750.0,20.53705601396546,79.46294398603453
2162,Indonesia,2015,258383256.0,120527352.0,639412.0,46.646734724946725,53.353265275053275
287,Brazil,2016,206163053.0,28983278.0,3024466.0,14.058424910888373,85.94157508911162
4573,Viet Nam,2016,93640422.0,61933285.0,1460800.0,66.13947660338395,33.860523396616045
802,Colombia,2016,48175052.0,9678238.0,818243.0,20.08973026121487,79.91026973878513
2163,Indonesia,2016,261556381.0,120142531.0,639305.0,45.933702913560346,54.066297086439654
288,Brazil,2017,207833823.0,28654406.0,2684508.0,13.7871716866797,86.2128283133203
4574,Viet Nam,2017,94600648.0,61898302.0,1542398.0,65.43116068295853,34.568839317041466
803,Colombia,2017,48909839.0,9594518.0,851640.0,19.61674418924176,80.38325581075824
2164,Indonesia,2017,264650963.0,119696518.0,717962.0,45.22806818579383,54.77193181420617
289,Brazil,2018,209469323.0,28321495.0,3552729.0,13.520593180128815,86.47940681987119
4575,Viet Nam,2018,95545962.0,61832185.0,1616307.0,64.71459777651305,35.285402223486955
804,Colombia,2018,49661048.0,9508270.0,813420.0,19.146333762428856,80.85366623757115
2165,Indonesia,2018,267670543.0,119191974.0,756051.0,44.52935786811626,55.47064213188374
